arch,hidden_size,T,acc_diff_L16_minus_L2
fc3_h4,4,2,-15.736000
fc3_h4,4,4,-5.068000
fc3_h4,4,8,7.470000
fc3_h4,4,16,11.140000
fc3_h4,4,32,11.664000
fc3_h8,8,2,-30.426000
fc3_h8,8,4,-16.916000
fc3_h8,8,8,-12.674000
fc3_h8,8,16,-10.384000
fc3_h8,8,32,-9.996000
fc3_h16,16,2,-11.750000
fc3_h16,16,4,-3.350000
fc3_h16,16,8,-1.780000
fc3_h16,16,16,-1.466000
fc3_h16,16,32,-1.424000
fc3_h32,32,2,-2.272000
fc3_h32,32,4,-0.432000
fc3_h32,32,8,-0.144000
fc3_h32,32,16,-0.060000
fc3_h32,32,32,-0.112000
fc3_h64,64,2,-1.268000
fc3_h64,64,4,-0.366000
fc3_h64,64,8,-0.190000
fc3_h64,64,16,-0.130000
fc3_h64,64,32,-0.084000
fc3_h128,128,2,0.668000
fc3_h128,128,4,1.384000
fc3_h128,128,8,1.156000
fc3_h128,128,16,1.264000
fc3_h128,128,32,1.202000
