dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0,1,63.710000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.25,1,63.750000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.5,1,63.600000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.75,1,63.550000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1,1,63.570000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.25,1,63.310000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.5,1,63.010000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.75,1,62.300000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2,1,61.230000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.25,1,60.210000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.5,1,57.970000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.75,1,54.270000,0.000000
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3,1,49.980000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,1,59.560000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.25,1,59.560000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.5,1,59.480000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.75,1,59.700000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,1,59.690000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,1,59.720000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,1,59.000000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,1,58.920000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,1,58.380000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,1,57.550000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,1,57.170000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,1,56.060000,0.000000
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,1,55.160000,0.000000
cifar100,weight_decay,weight_decay,weight_decay,none,none,0,1,62.270000,0.000000
