dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,84.820000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,82.480000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,76.380000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,66.490000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,53.450000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,39.600000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,28.850000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,23.170000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,19.150000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c4_c8,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,17.810000,fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_spectral_mne_cnn2_c4_c8_l2_rcnone_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_cnn2_widths_four_regs_sigma0_3_seed42/cnn2_c4_c8/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c4_c8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
